topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Dheweke arep tuku oleh-oleh lan mangan ing warung liyane.,Dheweke ora entuk oleh-oleh lan mangan ing warung.,Joko lan Yanto arep tuku oleh-oleh,Dheweke arep mangan ing warung,Warunge wis tutup,Dheweke ora entuk oleh-oleh
Food,Sinta tuku tempe ing pasar.,Sinta ora mangan tempe.,Sinta seneng mangan tempe,Dheweke arep tuku tempe,Tempe sing diwarunge wis habis,Sinta ora entuk tempe
Food,Dheweke tuku wedang ronde ing pasar.,Dheweke ora mangan wedang ronde.,Bayu lan Bagas arep tuku wedang ronde,Dheweke arep mangan ing warung,Warunge wis tutup,Dheweke ora entuk wedang ronde
Food,Sing disenengi dheweke padha panganan tradisional.,Sing disenengi dheweke padha panganan moderen.,Joko lan Yanto padha seneng mangan,Sing diomongke dheweke padha seneng mangan panganan tradisional,Sing paling disenengi dheweke yaiku gudeg,Sing ora disenengi dheweke yaiku sayur asem
Food,Dina lan kanca-kancane padha seneng mangan panganan khas.,Dina lan kanca-kancane padha ora seneng mangan panganan khas.,Dina lan kanca-kancane padha seneng mangan,Dina kepingin tuku panganan khas,Dina tuku klepon lan wajik,Dina lan kanca-kancane padha seneng mangan panganan khas
Food,Budi lan kanca-kancane padha seneng mangan panganan khas.,Budi lan kanca-kancane padha ora seneng mangan panganan khas.,Budi lan kanca-kancane padha seneng mangan,Budi kepingin tuku panganan khas,Budi tuku tahu tek lan rujak cingur,Budi lan kanca-kancane padha seneng mangan panganan khas
Food,Dina lan Wisno saiki wis ngrasakake kuliner lokal sing enak.,"Dina ora doyan mangan kuliner lokal, tapi Wisno seneng banget.","""Lho, kok wedi? Aku kan wis janji ora bakal ngajak kowe mangan sing aneh-aneh",""" Wisno ngomong nganti nggegirisi kancane, Dina","Dina ora doyan mangan sing aneh, tapi pengin ngrasakake kuliner lokal","""Aku pengin nyoba, tapi ojo sing aneh-aneh yo,"" Dina ngguyu"
Food,Mbak Ratih ngerti manfaat jamu tradisional.,"Jamune ademake ora mempan, Mbak Ratih kudu nyekel dokter maneh.","""Kowe wis mangan jamu, kan?"" Tanyane Mbak Ratih marang ademake",Mbak Ratih kudu nggawe jamu kanggo ademake sing lagi sakit,"""Iya, Mbak","Aku wis mangan jamu saka kene,"" jawabe ademake"
Food,Bayu seneng bisa ngrasakake gudeg lan budaya kuliner lokal.,"Bayu ora doyan gudeg, tapi seneng karo tradisi makane.","""Kowe kudu nyoba gudeg, lho!"" Mas Yuda ngajak kancane, Bayu, mangan gudeg",Bayu ora tau kuliner khas Jogja,"""Aku pengin nyoba, tapi kudu nganggo tangan apa sendok?"" tanyane Bayu","Mas Yuda ngguyu, ""Lha iku kudu nganggo tangan, kui tradisi"
Food,Tiwul iku panganan sing apik kanggo ngisi perut lan nguri-uri budaya kuliner Jawa.,Dina lan adike ora doyan mangan tiwul maneh.,"Dina lan adike, Dina, padha njupuk tiwul ing warung",Tiwul iku panganan tradisional sing enak lan murah,"Dina seneng banget karo rasane, apalagi nganggo sambel",Dina ngajak adike mangan bareng
Food,Dina nggawe tiwulan sing apik lan keluarga padha seneng.,Dina ora bisa nolong lan jamuan keluarga ora sukses.,"Selahe dadi tradisi, keluarga Pak Joko padha ngumpul ing omah kakung lan budhe lan ngadhepake jamuan","Jamuane iku tiwulan, panganan tradisional sing dadi favorit keluarga","Budhe nggawe tiwulan kanggo jamuan, nanging isih kurang apik","Dina, anak Pak Joko, ngerti kudu nolong"
Food,Mbak Rini seneng bisa nguri-uri budaya kuliner Jawa lan ngumpul karo kanca-kancane.,Kanca-kancane Mbak Rini ora doyan wedang ronde.,"Wis jam 6 sore, Mbak Rini padha ngumpul karo kanca-kancane ing alun-alun",Kanca-kancane Mbak Rini padha bawa makanan lan minuman,"Mbak Rini bawa wedang ronde, minuman tradisional sing anget lan seger",Kanca-kancane Mbak Rini seneng banget karo wedang rondene
